date,src,desc
04-Jul-66,http://www.thisdayinmusic.com/pages/the_beatles_manila,Beatles didn't go to Imelda Marcos's party
30-Mar-95,http://newsinfo.inquirer.net/inquirerheadlines/nation/view/20080120-113521/Malacaang-Forget-Edsa-II,"Flor Contemplacion--Filipina maid convicted of murder in Singapore. The government tries to get her sent here instead. They fail, she gets executed, and for some reason, is suddenly hailed as a modern day Philippine hero despite her innocence never being proven (let me add that the only two witnesses to her innocence were Filipino). She even gets a movie about her."
30-Oct-95,http://en.wikipedia.org/wiki/Sarah_Balabagan#cite_note-3,"Sarah Balabagan--Yet another Filipina maid convicted of murder, this time in the United Arab Emirates. The government this time is successful in getting her sentence commuted. When she gets home, she not only gets her own movie like Flor before her, but she even managed to launch her own SINGING CAREER."
01-Jan-97,http://urbanlegends.about.com/od/tommyhilfiger/a/tommy_hilfiger.htm,Tommy Hilfiger and the racist remarks which he never actually made
25-Aug-99,http://www.pinoyexchange.com/forums/showthread.php?t=9489,Claire Danes goes to the Philippines; gets declared persona non grata after making a few remarks that some people didn't like hearing
26-Aug-99,http://en.wikipedia.org/wiki/Filipinos_%28snack_food%29#cite_note-protest-5,"Government files diplomatic protest with Spain after discovering a snack food called ""Filipinos"""
26-Aug-99,http://en.wikipedia.org/wiki/Filipinos_(snack_food)#Controversy,filipino cookies
16-Jul-04,http://news.bbc.co.uk/2/hi/middle_east/3898875.stm,The Philippines pulled out of Iraq to save some random guy.
19-Nov-04,http://www.museumofhoaxes.com/hoax/weblog/comments/faye_nicole,"Filipinos getting angry over the Faye Nicole San Juan incident, which later turned out to be a hoax"
22-Nov-05,http://youngradicals.blogspot.com/2005/11/google-bombers-attack-arroyo-website.html,"Young Radicals Google bomb Gloria Arroyo's website so that it is returned upon searching for ""sinungaling"""
14-Jan-06,http://web.archive.org/web/20061016132225/http:/www.pamie.com/archives/pamie/open_up_and_say.html,Americans go to Jollibee and get flamed by a thousand angry Pinoys who can't bear the thought that other cultures might be weirded out by other cultures
05-May-06,https://en.wikipedia.org/wiki/Montreal%E2%80%93Philippines_cutlery_controversy,"the spoon incident in Canada, which really turned out to be the fault of the boy;"
12-Aug-06,http://lagablab.wordpress.com/2006/08/16/an-open-letter-to-isagani-cruz-philippine-daily-inquirer-columnist/,former Chief Justice Isagani Cruz's comments against gays;
19-Oct-06,http://bargainprofessor.wordpress.com/2006/10/19/art-bells-alleged-hate-letter-to-the-filipino-people/,"Art Bell's racist comments against Pinoys, actually a hoax"
20-Dec-06,http://en.wikipedia.org/wiki/Subic_rape_case,the Subic Rape Case
